Usage data for account gpuuva065

Month      Account    User                    SBUs      Restituted
---------- ---------- ------------ --------------- --------------- 
2025-12-11 gpuuva065  scur1693               253.0             0.0
2025-12-12 gpuuva065  scur1693              2686.4             0.0
2025-12-13 gpuuva065  scur1693              4137.7             0.0
2025-12-14 gpuuva065  scur1693              6034.1             0.0
2025-12-15 gpuuva065  scur1693              5712.6             0.0
2025-12-18 gpuuva065  scur1693              4275.2             0.0
2025-12-19 gpuuva065  scur1693             10013.9             0.0
2025-12-24 gpuuva065  scur1693             15682.1             0.0
2025-12-27 gpuuva065  scur1693               316.4             0.0
2025-12-28 gpuuva065  scur1693             13163.7             0.0
2025-12-29 gpuuva065  scur1693              7602.6             0.0
2025-12-30 gpuuva065  scur1693             16026.0             0.0
2025-12-31 gpuuva065  scur1693             14523.9             0.0
Totals for this user                      100448.0             0.0

2025-11-10 gpuuva065  scur1694                72.3             0.0
2025-11-16 gpuuva065  scur1694                33.2             0.0
2025-11-17 gpuuva065  scur1694               119.4             0.0
2025-11-18 gpuuva065  scur1694                11.5             0.0
2025-11-20 gpuuva065  scur1694              1646.0             0.0
2025-11-21 gpuuva065  scur1694              4029.4             0.0
2025-11-22 gpuuva065  scur1694              1385.4             0.0
2025-12-05 gpuuva065  scur1694              1298.8             0.0
2025-12-06 gpuuva065  scur1694              2263.7             0.0
2025-12-07 gpuuva065  scur1694              7557.5             0.0
2025-12-08 gpuuva065  scur1694               355.8             0.0
2025-12-09 gpuuva065  scur1694                 1.1             0.0
2025-12-10 gpuuva065  scur1694               898.1             0.0
2025-12-11 gpuuva065  scur1694               424.4             0.0
2025-12-12 gpuuva065  scur1694              3934.6             0.0
2025-12-14 gpuuva065  scur1694              2305.8             0.0
2025-12-15 gpuuva065  scur1694              1875.2             0.0
Totals for this user                       28212.4             0.0

2025-11-09 gpuuva065  scur1695               910.2             0.0
2025-11-11 gpuuva065  scur1695                74.8             0.0
2025-11-13 gpuuva065  scur1695                 2.3             0.0
2025-11-15 gpuuva065  scur1695                47.1             0.0
2025-11-16 gpuuva065  scur1695               186.7             0.0
Totals for this user                        1221.0             0.0

2025-11-10 gpuuva065  scur1697                20.9             0.0
2025-12-02 gpuuva065  scur1697                 1.2             0.0
2025-12-03 gpuuva065  scur1697                45.2             0.0
2025-12-04 gpuuva065  scur1697                26.0             0.0
2025-12-05 gpuuva065  scur1697               128.5             0.0
2025-12-07 gpuuva065  scur1697                 2.8             0.0
2025-12-08 gpuuva065  scur1697               191.3             0.0
2025-12-18 gpuuva065  scur1697                 6.1             0.0
2025-12-19 gpuuva065  scur1697                27.5             0.0
Totals for this user                         449.6             0.0

2025-10-30 gpuuva065  scur1698                20.9             0.0
2025-10-31 gpuuva065  scur1698               112.7             0.0
2025-11-03 gpuuva065  scur1698               305.2             0.0
2025-11-07 gpuuva065  scur1698               915.3             0.0
2025-11-08 gpuuva065  scur1698              1579.3             0.0
2025-11-09 gpuuva065  scur1698               165.1             0.0
2025-11-12 gpuuva065  scur1698                 4.9             0.0
2025-11-13 gpuuva065  scur1698                 0.6             0.0
